Full Journal Title	Abbre1（Endnote来源）	Abbre2（Endnote来源）	Abbre3（Endnote来源）
World Rabbit Science	#N/A	World Rabbit Sci	"World Rabbit Sci,0.605"
Boletin de la Sociedad Geologica Mexicana	#N/A	Boletin De La Sociedad Geologica Mexicana	"Boletin De La Sociedad Geologica Mexicana,0.782"
International Journal of Oil Gas and Coal Technology	#N/A	International Journal Of Oil Gas And Coal Technology	"International Journal Of Oil Gas And Coal Technology,0.683"
Nations and Nationalism	Nations Natl.	Nations Natl	"Nations Natl,1.278"
Amfiteatru Economic	#N/A	Amfiteatru Economic	"Amfiteatru Economic,1.238"
EDUCATIONAL STUDIES	#N/A	Educ Stud	"Educ Stud,0.776"
FOLIA BIOLOGICA-KRAKOW	#N/A	Folia Biol-Krakow	"Folia Biol-Krakow,0.724"
JOURNAL OF ECONOMIC ISSUES	#N/A	J Econ Issue	"J Econ Issue,0.763"
Problems of Information Transmission	#N/A	Problems Of Information Transmission	"Problems Of Information Transmission,0.557"
Puerto Rico Health Sciences Journal	P. R. Health Sci. J.	P R Health Sci J	"P R Health Sci J,0.392"
Russian Journal of Physical Chemistry A	#N/A	Russian Journal Of Physical Chemistry A	"Russian Journal Of Physical Chemistry A,0.581"
SWEDISH DENTAL JOURNAL	Swed. Dent. J.	Swed Dent J	#N/A
ARCHIVES ITALIENNES DE BIOLOGIE	Arch. Ital. Biol.	Arch Ital Biol	"Arch Ital Biol,0.974"
Geografie	#N/A	Geografie	"Geografie,0.540"
Journal of Web Engineering	#N/A	Journal Of Web Engineering	"Journal Of Web Engineering,0.854"
INTERFACES	#N/A	Interfaces	"Interfaces,0.729"
INTERFACES	#N/A	Interfaces	"Interfaces,0.729"
JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE	#N/A	J Organ Comput Electron Comme	"J Organ Comput Electron Comme,1.400"
Journal of the Korean Statistical Society	#N/A	Journal Of The Korean Statistical Society	"Journal Of The Korean Statistical Society,0.569"
Legal Studies	#N/A	Legal Studies	"Legal Studies,0.935"
B-ENT	#N/A	B-Ent	"B-Ent,0.263"
FUSION SCIENCE AND TECHNOLOGY	#N/A	Fusion Sci Technol	"Fusion Sci Technol,1.406"
LINGUA	#N/A	Lingua	"Lingua,0.963"
Russian Journal of Physical Chemistry B	#N/A	Russian Journal Of Physical Chemistry B	"Russian Journal Of Physical Chemistry B,0.589"
STUDIES IN CONSERVATION	#N/A	Studies Conservation	"Studies Conservation,0.797"
Turkish Journal of Electrical Engineering and Computer Sciences	#N/A	Turkish Journal Of Electrical Engineering And Computer Sciences	"Turkish Journal Of Electrical Engineering And Computer Sciences,0.625"
China Agricultural Economic Review	#N/A	China Agricultural Economic Review	"China Agricultural Economic Review,1.050"
China Agricultural Economic Review	#N/A	China Agricultural Economic Review	"China Agricultural Economic Review,1.050"
Hague Journal on the Rule of Law	#N/A	Hague Journal On The Rule Of Law	"Hague Journal On The Rule Of Law,0.914"
KEW BULLETIN	#N/A	Kew Bulletin	"Kew Bulletin,0.680"
Acta Orthopaedica Belgica	Acta Orthop. Belg.	Acta Orthop Belg	#N/A
Asia-Pacific Education Researcher	#N/A	Asia-Pacific Education Researcher	"Asia-Pacific Education Researcher,0.846"
Australian Accounting Review	#N/A	Australian Accounting Review	"Australian Accounting Review,1.443"
EURASIAN SOIL SCIENCE	#N/A	Eurasian Soil Sci	"Eurasian Soil Sci,0.883"
Economics of Governance	#N/A	Economics Of Governance	"Economics Of Governance,0.467"
Ginekologia Polska	Ginekol. Pol.	Ginekol Pol	"Ginekol Pol,0.747"
International Journal of Disability Development and Education	#N/A	International Journal Of Disability Development And Education	"International Journal Of Disability Development And Education,0.818"
Journal of Behavioral FInance	#N/A	Journal Of Behavioral Finance	"Journal Of Behavioral Finance,0.770"
Journal of Exercise Science & Fitness	#N/A	Journal Of Exercise Science & Fitness	"Journal Of Exercise Science & Fitness,0.786"
REVUE DES MALADIES RESPIRATOIRES	Rev. Mal. Respir.	Rev Mal Respir	"Rev Mal Respir,0.545"
South African Journal of Industrial Engineering	#N/A	South African Journal Of Industrial Engineering	"South African Journal Of Industrial Engineering,0.547"
CYBIUM	Cybium	Cybium	"Cybium,0.812"
European Journal of International Management	#N/A	European Journal Of International Management	"European Journal Of International Management,1.349"
JOURNAL OF MICROWAVE POWER AND ELECTROMAGNETIC ENERGY	J. Microw. Power Electromagn. Energy	J Microw Power Electromagn Energy	"J Microw Power Electromagn Energy,0.850"
Journal of Pension Economics & Finance	#N/A	Journal Of Pension Economics & Finance	"Journal Of Pension Economics & Finance,1.073"
LOGIC JOURNAL OF THE IGPL	#N/A	Log J Igpl	"Log J Igpl,0.609"
ANIMAL BIOLOGY	Anim. Biol.	Anim Biol	"Anim Biol,1.304"
CHEMICAL ENGINEERING PROGRESS	Chem. Eng. Prog.	Chem Eng Prog	"Chem Eng Prog,0.466"
INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL	#N/A	Inf Res	"Inf Res,0.799"
JOURNAL OF SOCIAL SERVICE RESEARCH	#N/A	J Soc Serv Res	"J Soc Serv Res,0.782"
Statistical Methods and Applications	#N/A	Statistical Methods And Applications	"Statistical Methods And Applications,0.590"
CLINICAL DYSMORPHOLOGY	Clin. Dysmorphol.	Clin Dysmorphol	"Clin Dysmorphol,0.760"
ENTOMOLOGICAL RESEARCH	#N/A	Entomological Research	"Entomological Research,0.564"
INTERNATIONAL SOCIAL WORK	Int. Soc. Work	Int Soc Work	"Int Soc Work,0.603"
Revista da Escola de Enfermagem da USP	Rev. Esc. Enferm. USP	Rev Esc Enferm USP	"Rev Esc Enferm USP,0.945"
Revista da Escola de Enfermagem da USP	Rev. Esc. Enferm. USP	Rev Esc Enferm USP	"Rev Esc Enferm USP,0.945"
STOCHASTIC ANALYSIS AND APPLICATIONS	#N/A	Stochastic Anal Appl	"Stochastic Anal Appl,0.878"
Water Science and Technology-Water Supply	#N/A	Water Science And Technology-Water Supply	"Water Science And Technology-Water Supply,0.922"
Journal of Applied Spectroscopy	#N/A	Journal Of Applied Spectroscopy	"Journal Of Applied Spectroscopy,0.675"
ACTA PHYSIOLOGICA HUNGARICA	Acta Physiol. Hung.	Acta Physiol Hung	#N/A
ARCHIVES OF METALLURGY AND MATERIALS	#N/A	Arch Metall Mater	"Arch Metall Mater,0.697"
Contemporary Politics	#N/A	Contemporary Politics	"Contemporary Politics,1.226"
Education and Treatment of Children	#N/A	Education And Treatment Of Children	"Education And Treatment Of Children,0.898"
European Integration Online Papers-EIOP	#N/A	European Integration Online Papers-Eiop	#N/A
MOLECULAR CRYSTALS AND LIQUID CRYSTALS	#N/A	Mol Cryst Liquid Cryst	"Mol Cryst Liquid Cryst,0.559"
NAGOYA MATHEMATICAL JOURNAL	#N/A	Nagoya Math J	"Nagoya Math J,0.638"
PLATINUM METALS REVIEW	#N/A	Platinum Metals Review	#N/A
Polimeros-Ciencia e Tecnologia	#N/A	Polimeros-Ciencia E Tecnologia	"Polimeros-Ciencia E Tecnologia,0.806"
STUDIES IN AMERICAN POLITICAL DEVELOPMENT	#N/A	Stud Amer Polit Dev	"Stud Amer Polit Dev,0.909"
INTERNATIONAL REVIEW OF LAW AND ECONOMICS	#N/A	Int Rev Law Economics	"Int Rev Law Economics,0.667"
POLITICAL QUARTERLY	#N/A	Polit Quart	"Polit Quart,1.780"
Asia Europe Journal	#N/A	Asia Europe Journal	"Asia Europe Journal,0.788"
British Politics	#N/A	British Politics	"British Politics,1.020"
Communication Disorders Quarterly	#N/A	Communication Disorders Quarterly	"Communication Disorders Quarterly,0.720"
ELECTRICAL ENGINEERING	#N/A	Electr Eng	"Electr Eng,1.296"
J-FOR-Journal of Science & Technology for Forest Products and Processes	#N/A	J-For-Journal Of Science & Technology For Forest Products And Processes	"J-For-Journal Of Science & Technology For Forest Products And Processes,1.000"
TROPICAL JOURNAL OF PHARMACEUTICAL RESEARCH	#N/A	Tropical Journal Of Pharmaceutical Research	"Tropical Journal Of Pharmaceutical Research,0.439"
INDIAN JOURNAL OF CHEMICAL TECHNOLOGY	Indian J. Chem. Technol.	Indian J Chem Technol	"Indian J Chem Technol,0.614"
JOURNAL OF LATIN AMERICAN STUDIES	#N/A	J Lat Amer Stud	"J Lat Amer Stud,0.940"
Human Service Organizations Management Leadership & Governance	#N/A	Human Service Organizations Management Leadership & Governance	"Human Service Organizations Management Leadership & Governance,1.044"
JOURNAL FRANCAIS D OPHTALMOLOGIE	#N/A	J Fr Ophtalmol	"J Fr Ophtalmol,0.557"
JOURNAL OF MATHEMATICAL SOCIOLOGY	#N/A	J Math Sociol	"J Math Sociol,2.000"
JOURNAL OF MATHEMATICAL SOCIOLOGY	#N/A	J Math Sociol	"J Math Sociol,2.000"
Journal of Mental Health Research in Intellectual Disabilities	#N/A	Journal Of Mental Health Research In Intellectual Disabilities	"Journal Of Mental Health Research In Intellectual Disabilities,1.059"
QUIMICA NOVA	#N/A	Quim Nova	"Quim Nova,0.622"
ACSMS HEALTH & FITNESS JOURNAL	#N/A	Acsms Health Fit J	"Acsms Health Fit J,1.000"
Educational Philosophy and Theory	0	0	"0,1.267"
Genes & Genomics	#N/A	Genes & Genomics	"Genes & Genomics,0.759"
HORTICULTURAL SCIENCE	#N/A	Horticultural Science	"Horticultural Science,0.623"
Differential and Integral Equations	#N/A	Differential And Integral Equations	"Differential And Integral Equations,0.915"
Education as Change	#N/A	Education As Change	"Education As Change,0.585"
International Insolvency Review	#N/A	International Insolvency Review	"International Insolvency Review,0.208"
MAIN GROUP CHEMISTRY	#N/A	Main Group Chem	"Main Group Chem,0.625"
MONTHLY LABOR REVIEW	Mon. Labor Rev.	Mon Labor Rev	"Mon Labor Rev,0.546"
PROCEEDINGS OF THE YORKSHIRE GEOLOGICAL SOCIETY	#N/A	Proc Yorks Geol Soc	"Proc Yorks Geol Soc,0.750"
FOOD BIOTECHNOLOGY	Food Biotechnol.	Food Biotechnol	"Food Biotechnol,0.676"
JOURNAL OF ADVANCED OXIDATION TECHNOLOGIES	#N/A	J Adv Oxid Technol	#N/A
ACTA ARITHMETICA	#N/A	Acta Arithmet	"Acta Arithmet,0.416"
CRYSTALLOGRAPHY REPORTS	#N/A	Crystallogr Rep	"Crystallogr Rep,0.751"
JOURNAL OF SOUTHERN AFRICAN STUDIES	#N/A	J S Afr Stud	"J S Afr Stud,0.890"
ACM Transactions on Asian and Low-Resource Language Information Processing	#N/A	Acm Transactions On Asian And Low-Resource Language Information Processing	"Acm Transactions On Asian And Low-Resource Language Information Processing,0.788"
Chinese Journal of Communication	#N/A	Chinese Journal Of Communication	"Chinese Journal Of Communication,1.064"
JOURNAL OF SWINE HEALTH AND PRODUCTION	#N/A	J Swine Health Prod	"J Swine Health Prod,0.881"
NETWORK-COMPUTATION IN NEURAL SYSTEMS	#N/A	Network-Comput Neural Syst	"Network-Comput Neural Syst,1.000"
PROBABILITY IN THE ENGINEERING AND INFORMATIONAL SCIENCES	#N/A	Probab Eng Inform Sci	"Probab Eng Inform Sci,0.864"
GROWTH AND CHANGE	Growth Change	Growth Change	"Growth Change,1.202"
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca	Acta Chir. Orthop. Traumatol. Cech.	Acta Chir Orthop Traumatol Cech	"Acta Chir Orthop Traumatol Cech,0.456"
BOLETIN DE LA SOCIEDAD ESPANOLA DE CERAMICA Y VIDRIO	#N/A	Bol Soc Esp Ceram Vidr	"Bol Soc Esp Ceram Vidr,1.633"
Iranian Journal of Fuzzy Systems	#N/A	Iranian Journal Of Fuzzy Systems	"Iranian Journal Of Fuzzy Systems,1.496"
Revista Romana de Materiale-Romanian Journal of Materials	#N/A	Revista Romana De Materiale-Romanian Journal Of Materials	"Revista Romana De Materiale-Romanian Journal Of Materials,0.628"
Turkish Neurosurgery	Turk. Neurosurg.	Turk Neurosurg	"Turk Neurosurg,0.896"
Expert Opinion on Orphan Drugs	#N/A	Expert Opinion On Orphan Drugs	"Expert Opinion On Orphan Drugs,0.763"
International Journal of Aeroacoustics	#N/A	International Journal Of Aeroacoustics	"International Journal Of Aeroacoustics,0.866"
International Journal of Sports Science & Coaching	#N/A	International Journal Of Sports Science & Coaching	"International Journal Of Sports Science & Coaching,1.253"
Target-International Journal of Translation Studies	#N/A	Target-International Journal Of Translation Studies	"Target-International Journal Of Translation Studies,0.605"
ACTA SCIENTIARUM-AGRONOMY	#N/A	Acta Scientiarum-Agronomy	"Acta Scientiarum-Agronomy,0.842"
ANNALS OF SAUDI MEDICINE	Ann. Saudi Med.	Ann Saudi Med	"Ann Saudi Med,0.808"
Australian Journal of Adult Learning	#N/A	Australian Journal Of Adult Learning	"Australian Journal Of Adult Learning,0.467"
ECONOMICS LETTERS	#N/A	Econ Lett	"Econ Lett,0.876"
International Review of Finance	#N/A	International Review Of Finance	"International Review Of Finance,0.807"
LIBRARY QUARTERLY	#N/A	Libr Quart	"Libr Quart,1.240"
POLYMER-KOREA	#N/A	Polym-Korea	"Polym-Korea,0.500"
RAIRO-THEORETICAL INFORMATICS AND APPLICATIONS	#N/A	Rairo-Theor Inform Appl	"Rairo-Theor Inform Appl,0.282"
Transactions of the Indian Ceramic Society	#N/A	Transactions Of The Indian Ceramic Society	"Transactions Of The Indian Ceramic Society,1.014"
JOURNAL OF SCIENTIFIC & INDUSTRIAL RESEARCH	#N/A	J Sci Ind Res India	"J Sci Ind Res India,0.735"
PERIODICA POLYTECHNICA-CHEMICAL ENGINEERING	#N/A	Period Polytech Chem Eng	"Period Polytech Chem Eng,1.382"
Cement Wapno Beton	#N/A	Cement Wapno Beton	"Cement Wapno Beton,0.476"
Geneva Risk and Insurance Review	#N/A	Geneva Risk Insur Rev	"Geneva Risk Insur Rev,0.625"
ITALIAN JOURNAL OF FOOD SCIENCE	#N/A	Ital J Food Sci	"Ital J Food Sci,0.736"
Journal fur Verbraucherschutz und Lebensmittelsicherheit-Journal of Consumer Protection and Food Safety	#N/A	Journal Fur Verbraucherschutz Und Lebensmittelsicherheit-Journal Of Consumer Protection And Food Safety	#N/A
Journal of Systems Science & Complexity	#N/A	Journal Of Systems Science & Complexity	"Journal Of Systems Science & Complexity,0.939"
PROGRAM-ELECTRONIC LIBRARY AND INFORMATION SYSTEMS	#N/A	Program-Autom Libr Inf Syst	"Program-Autom Libr Inf Syst,0.868"
PROGRAM-ELECTRONIC LIBRARY AND INFORMATION SYSTEMS	#N/A	Program-Autom Libr Inf Syst	"Program-Autom Libr Inf Syst,0.868"
SPE DRILLING & COMPLETION	#N/A	Spe Drill Completion	"Spe Drill Completion,1.327"
Transformations in Business & Economics	#N/A	Transform Bus Econ	"Transform Bus Econ,1.058"
COLLOQUIUM MATHEMATICUM	#N/A	Colloquium Mathematicum	"Colloquium Mathematicum,0.540"
Iranian Journal of Radiology	#N/A	Iranian Journal Of Radiology	"Iranian Journal Of Radiology,0.478"
Japan Journal of Nursing Science	Jpn. J. Nurs. Sci.	Jpn J Nurs Sci	"Jpn J Nurs Sci,0.663"
Japan Journal of Nursing Science	Jpn. J. Nurs. Sci.	Jpn J Nurs Sci	"Jpn J Nurs Sci,0.663"
Oral Radiology	#N/A	Oral Radiology	"Oral Radiology,0.681"
Space and Culture	#N/A	Space And Culture	"Space And Culture,0.800"
World Review of Nutrition and Dietetics	World Rev. Nutr. Diet.	World Rev Nutr Diet	"World Rev Nutr Diet,1.300"
GAYANA	Gayana	Gayana	"Gayana,0.455"
JOURNAL OF HISTORICAL SOCIOLOGY	J. Hist. Sociol.	J Hist Sociol	"J Hist Sociol,0.891"
RUSSIAN JOURNAL OF GENERAL CHEMISTRY	#N/A	Russ J Gen Chem	"Russ J Gen Chem,0.643"
ADVANCES IN GEOMETRY	#N/A	Adv Geom	"Adv Geom,0.789"
DEUTSCHE MEDIZINISCHE WOCHENSCHRIFT	Dtsch. Med. Wochenschr.	Dtsch Med Wochenschr	"Dtsch Med Wochenschr,0.635"
Diachronica	#N/A	Diachronica	"Diachronica,0.741"
Neurosciences	#N/A	Neurosciences	"Neurosciences,0.892"
FERROELECTRICS	#N/A	Ferroelectrics	"Ferroelectrics,0.697"
OCEANIA	#N/A	Oceania	"Oceania,0.270"
Archives of Mining Sciences	#N/A	Archives Of Mining Sciences	"Archives Of Mining Sciences,0.589"
JOURNAL OF LEGAL EDUCATION	#N/A	J Legal Educ	"J Legal Educ,0.651"
PEDIATRIC NEUROSURGERY	Pediatr. Neurosurg.	Pediatr Neurosurg	"Pediatr Neurosurg,0.783"
RAIRO-OPERATIONS RESEARCH	#N/A	Rairo-Oper Res	"Rairo-Oper Res,0.639"
RUSSIAN JOURNAL OF GENETICS	Russ. J. Genet.	Russ J Genet	"Russ J Genet,0.559"
Spanish Journal of Finance and Accounting-Revista Espanola de Financiacion y Contabilida	#N/A	Spanish Journal Of Finance And Accounting-Revista Espanola De Financiacion Y Contabilida	"Spanish Journal Of Finance And Accounting-Revista Espanola De Financiacion Y Contabilida,0.590"
Ensenanza de Las Ciencias	#N/A	Ensenanza De Las Ciencias	"Ensenanza De Las Ciencias,0.814"
JOURNAL OF CHEMICAL CRYSTALLOGRAPHY	J. Chem. Crystallogr.	J Chem Crystallogr	"J Chem Crystallogr,0.630"
JOURNAL OF SEISMIC EXPLORATION	#N/A	J Seism Explor	#N/A
Australian and New Zealand Journal of Family Therapy	#N/A	Australian And New Zealand Journal Of Family Therapy	"Australian And New Zealand Journal Of Family Therapy,0.423"
BULLETIN OF THE AUSTRALIAN MATHEMATICAL SOCIETY	#N/A	Bull Aust Math Soc	"Bull Aust Math Soc,0.592"
COMPUTATIONAL GEOMETRY-THEORY AND APPLICATIONS	#N/A	Comput Geom-Theory Appl	"Comput Geom-Theory Appl,0.343"
CRITIQUE OF ANTHROPOLOGY	#N/A	Crit Anthr	"Crit Anthr,0.911"
Engineering Management Journal	#N/A	Engineering Management Journal	"Engineering Management Journal,0.524"
Engineering Management Journal	#N/A	Engineering Management Journal	"Engineering Management Journal,0.524"
JOURNAL OF EDUCATIONAL AND PSYCHOLOGICAL CONSULTATION	#N/A	J Educ Psychological Cons	"J Educ Psychological Cons,1.243"
Journal of Logic Language and Information	#N/A	Journal Of Logic Language And Information	"Journal Of Logic Language And Information,0.500"
Journal of Public Economic Theory	#N/A	Journal Of Public Economic Theory	"Journal Of Public Economic Theory,1.037"
NEUROCIRUGIA	Neurocirugia	Neurocirugia	"Neurocirugia,0.519"
NORTHWEST SCIENCE	Northwest Sci.	Northwest Sci	"Northwest Sci,0.571"
PHYLLOMEDUSA	#N/A	Phyllomedusa	"Phyllomedusa,0.364"
SOCIAL BEHAVIOR AND PERSONALITY	Soc. Behav. Pers.	Soc Behav Pers	"Soc Behav Pers,0.535"
TOHOKU MATHEMATICAL JOURNAL	#N/A	Tohoku Math J	"Tohoku Math J,0.667"
JOURNAL OF TESTING AND EVALUATION	#N/A	J Test Eval	"J Test Eval,0.711"
Journal of Aggression Maltreatment & Trauma	#N/A	Journal Of Aggression Maltreatment & Trauma	"Journal Of Aggression Maltreatment & Trauma,0.833"
Journal of Commutative Algebra	#N/A	Journal Of Commutative Algebra	"Journal Of Commutative Algebra,0.407"
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-WATER MANAGEMENT	#N/A	Proc Inst Civil Eng-Water Man	"Proc Inst Civil Eng-Water Man,0.706"
HISTORICAL METHODS	#N/A	Historical Methods	"Historical Methods,0.735"
IRAL-INTERNATIONAL REVIEW OF APPLIED LINGUISTICS IN LANGUAGE TEACHING	#N/A	Iral-Int Rev Appl Linguist	"Iral-Int Rev Appl Linguist,0.667"
JOURNAL OF LABOR RESEARCH	J. Labor Res.	J Labor Res	"J Labor Res,0.650"
REVISTA BRASILEIRA DE ZOOTECNIA-BRAZILIAN JOURNAL OF ANIMAL SCIENCE	#N/A	Rev Bras Zootecn	"Rev Bras Zootecn,0.832"
AMERICAN CRIMINAL LAW REVIEW	#N/A	Amer Crim Law Rev	"Amer Crim Law Rev,0.512"
ARQUIVOS BRASILEIROS DE OFTALMOLOGIA	Arq. Bras. Oftalmol.	Arq Bras Oftalmol	"Arq Bras Oftalmol,0.859"
Annals of Combinatorics	#N/A	Annals Of Combinatorics	"Annals Of Combinatorics,0.650"
OCEANOLOGICAL AND HYDROBIOLOGICAL STUDIES	Oceanol. Hydrobiol. Stud.	Oceanol Hydrobiol Stud	"Oceanol Hydrobiol Stud,0.674"
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-GEOTECHNICAL ENGINEERING	#N/A	Proc Inst Civil Eng-Geotech E	"Proc Inst Civil Eng-Geotech E,1.274"
Archive for the Psychology of Religion-Archiv fur Religionspsychologie	#N/A	Archive For The Psychology Of Religion-Archiv Fur Religionspsychologie	"Archive For The Psychology Of Religion-Archiv Fur Religionspsychologie,0.533"
BLUMEA	#N/A	Blumea	"Blumea,0.854"
ELECTRONIC JOURNAL OF COMBINATORICS	#N/A	Electron J Comb	"Electron J Comb,0.762"
JOURNAL OF THE AMERICAN LEATHER CHEMISTS ASSOCIATION	#N/A	J Amer Leather Chem Assn	"J Amer Leather Chem Assn,0.685"
Pacific Journal of Optimization	#N/A	Pacific Journal Of Optimization	"Pacific Journal Of Optimization,0.430"
Politikon	#N/A	Politikon	"Politikon,0.674"
REFRACTORIES AND INDUSTRIAL CERAMICS	#N/A	Refract Ind Ceram	"Refract Ind Ceram,0.522"
HETEROCYCLIC COMMUNICATIONS	#N/A	Heterocycl Commun	"Heterocycl Commun,0.810"
INTERNATIONAL JOURNAL OF MATHEMATICS	#N/A	Int J Math	"Int J Math,0.445"
JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES	#N/A	J Jpn Int Econ	"J Jpn Int Econ,0.741"
Mathematical Control and Related Fields	#N/A	Mathematical Control And Related Fields	"Mathematical Control And Related Fields,1.292"
PESQUISA AGROPECUARIA BRASILEIRA	#N/A	Pesquisa Agr Brasil	"Pesquisa Agr Brasil,0.668"
City & Community	City Comm.	City Comm	"City Comm,1.055"
International Journal of Clothing Science and Technology	#N/A	Int J Cloth Sci Technol	"Int J Cloth Sci Technol,0.752"
REVISTA MEXICANA DE PSICOLOGIA	#N/A	Rev Mex Psicol	"Rev Mex Psicol,0.321"
RUSSIAN JOURNAL OF COORDINATION CHEMISTRY	#N/A	Russ J Coord Chem	"Russ J Coord Chem,0.636"
TRANSACTIONS OF THE JAPAN SOCIETY FOR AERONAUTICAL AND SPACE SCIENCES	#N/A	Trans Jpn Soc Aeron Space Sci	"Trans Jpn Soc Aeron Space Sci,0.828"
Clinical Lipidology	Clin. Lipidol.	Clin Lipidol	#N/A
Dermatologica Sinica	#N/A	Dermatologica Sinica	"Dermatologica Sinica,0.808"
LAW LIBRARY JOURNAL	#N/A	Law Libr J	"Law Libr J,0.151"
STATISTICS & PROBABILITY LETTERS	#N/A	Stat Probab Lett	"Stat Probab Lett,0.615"
TRACE ELEMENTS AND ELECTROLYTES	#N/A	Trace Elem Electrolytes	"Trace Elem Electrolytes,0.344"
Journal of Management & Organization	#N/A	Journal Of Management & Organization	"Journal Of Management & Organization,1.021"
REVISTA PANAMERICANA DE SALUD PUBLICA-PAN AMERICAN JOURNAL OF PUBLIC HEALTH	#N/A	Revista Panamericana De Salud Publica-Pan American Journal Of Public Health	"Revista Panamericana De Salud Publica-Pan American Journal Of Public Health,0.774"
Acta Ortopedica Brasileira	#N/A	Acta Ortopedica Brasileira	"Acta Ortopedica Brasileira,0.570"
Baltica	#N/A	Baltica	"Baltica,0.500"
EXPERIMENTAL MATHEMATICS	#N/A	Exp Math	"Exp Math,0.731"
GESUNDHEITSWESEN	Gesundheitswesen	Gesundheitswesen	"Gesundheitswesen,0.841"
GLASS PHYSICS AND CHEMISTRY	#N/A	Glass Phys Chem-Engl Tr	"Glass Phys Chem-Engl Tr,0.672"
HISTORY WORKSHOP JOURNAL	#N/A	History Workshop	"History Workshop,0.528"
IDS BULLETIN-INSTITUTE OF DEVELOPMENT STUDIES	#N/A	Ids Bull-Inst Develop Stud	"Ids Bull-Inst Develop Stud,0.711"
JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	J. Horticult. Sci. Biotechnol.	J Horticult Sci Biotechnol	"J Horticult Sci Biotechnol,1.044"
MONTHLY REVIEW-AN INDEPENDENT SOCIALIST MAGAZINE	#N/A	Mon Rev-Indep Socialist Mag	"Mon Rev-Indep Socialist Mag,0.949"
MYCOTAXON	#N/A	Mycotaxon	"Mycotaxon,0.531"
INTERNATIONAL JOURNAL OF INDUSTRIAL ENGINEERING-THEORY APPLICATIONS AND PRACTICE	#N/A	Int J Ind Eng-Appl Pract	"Int J Ind Eng-Appl Pract,0.532"
Lithuanian Journal of Physics	#N/A	Lithuanian Journal Of Physics	"Lithuanian Journal Of Physics,0.822"
Journal of Food Measurement and Characterization	#N/A	Journal Of Food Measurement And Characterization	"Journal Of Food Measurement And Characterization,1.415"
MATHEMATICAL PROCEEDINGS OF THE CAMBRIDGE PHILOSOPHICAL SOCIETY	#N/A	Math Proc Cambridge Phil Soc	"Math Proc Cambridge Phil Soc,0.737"
STRENGTH AND CONDITIONING JOURNAL	#N/A	Strength Conditioning	"Strength Conditioning,0.986"
Salud Colectiva	#N/A	Salud Colectiva	"Salud Colectiva,0.451"
Anthropology Southern Africa	#N/A	Anthropology Southern Africa	"Anthropology Southern Africa,0.714"
Asian Economic Papers	#N/A	Asian Economic Papers	"Asian Economic Papers,0.611"
Experimental and Clinical Transplantation	Exp. Clin. Transplant.	Exp Clin Transplant	"Exp Clin Transplant,0.754"
Journal of Oil Palm Research	#N/A	Journal Of Oil Palm Research	"Journal Of Oil Palm Research,0.893"
Nephrology Nursing Journal	Nephrol. Nurs. J.	Nephrol Nurs J	"Nephrol Nurs J,0.624"
Nephrology Nursing Journal	Nephrol. Nurs. J.	Nephrol Nurs J	"Nephrol Nurs J,0.624"
STUDIA MATHEMATICA	#N/A	Stud Math	"Stud Math,0.750"
Acta Geographica Slovenica-Geografski Zbornik	#N/A	Acta Geographica Slovenica-Geografski Zbornik	"Acta Geographica Slovenica-Geografski Zbornik,0.773"
China Petroleum Processing & Petrochemical Technology	#N/A	China Petroleum Processing & Petrochemical Technology	"China Petroleum Processing & Petrochemical Technology,0.600"
PACIFIC JOURNAL OF MATHEMATICS	#N/A	Pac J Math	"Pac J Math,0.576"
RUSSIAN JOURNAL OF NEMATOLOGY	#N/A	Russ J Nematol	"Russ J Nematol,0.577"
TRANSACTIONS OF THE INDIAN INSTITUTE OF METALS	#N/A	Trans Indian Inst Met	"Trans Indian Inst Met,1.176"
ANIMAL BIODIVERSITY AND CONSERVATION	Anim. Biodivers. Conserv.	Anim Biodivers Conserv	"Anim Biodivers Conserv,0.792"
Czech Journal of Genetics and Plant Breeding	#N/A	Czech Journal Of Genetics And Plant Breeding	"Czech Journal Of Genetics And Plant Breeding,0.652"
Zeitschrift der Deutschen Gesellschaft fur Geowissenschaften	#N/A	Zeitschrift Der Deutschen Gesellschaft Fur Geowissenschaften	"Zeitschrift Der Deutschen Gesellschaft Fur Geowissenschaften,0.509"
JAPANESE PSYCHOLOGICAL RESEARCH	J. Psych. Res.	Jpn Psychol Res	"Jpn Psychol Res,0.758"
Science and Technology of Nuclear Installations	#N/A	Science And Technology Of Nuclear Installations	"Science And Technology Of Nuclear Installations,1.082"
Chungara-Revista de Antropologia Chilena	#N/A	Chungara	"Chungara,0.670"
Rechtsmedizin	#N/A	Rechtsmedizin	"Rechtsmedizin,0.603"
Baltic Journal of Economics	#N/A	Baltic Journal Of Economics	"Baltic Journal Of Economics,0.714"
HORTTECHNOLOGY	#N/A	Horttechnology	"Horttechnology,0.651"
